,,,"Ontario [Province]",,,,,,"Canada [Country]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Mother tongue","              Oriya (Odia)",,     715,,     380,,     335,,    1055,,     560,,     495,
"Mother tongue","              Punjabi (Panjabi)",,  197060,,  100160,,   96895,,  501680,,  253515,,  248160,
"Mother tongue","              Sindhi",,    6840,,    3225,,    3615,,   11860,,    5605,,    6260,
"Mother tongue","              Sinhala (Sinhalese)",,   10165,,    4925,,    5235,,   16335,,    8050,,    8285,
"Mother tongue","              Urdu",,  152385,,   76795,,   75595,,  210815,,  106960,,  103860,
"Mother tongue","            Iranian languages",,  139675,,   70270,,   69405,,  242805,,  122835,,  119970,
"Mother tongue","              Kurdish",,    6665,,    3615,,    3050,,   11705,,    6345,,    5355,
"Mother tongue","              Pashto",,   10950,,    5630,,    5315,,   16910,,    8760,,    8145,
"Mother tongue","              Persian (Farsi)",,  122070,,   61025,,   61040,,  214200,,  107725,,  106470,
"Mother tongue","            Indo-Iranian languages; n.i.e.",,    2565,,    1350,,    1215,,    5180,,    2755,,    2425,
"Mother tongue","          Italic (Romance) languages",,  614525,,  295030,,  319490,, 1154270,,  558660,,  595615,
"Mother tongue","            Catalan",,     285,,     150,,     135,,     865,,     440,,     425,
"Mother tongue","            Italian",,  231040,,  112440,,  118600,,  375635,,  184415,,  191220,
"Mother tongue","            Portuguese",,  150000,,   72280,,   77715,,  221540,,  106630,,  114910,
"Mother tongue","            Romanian",,   41755,,   19565,,   22190,,   96665,,   46195,,   50470,
"Mother tongue","            Spanish",,  191025,,   90390,,  100630,,  458850,,  220605,,  238245,
"Mother tongue","            Italic (Romance) languages; n.i.e.",,     420,,     200,,     215,,     720,,     380,,     340,
"Mother tongue","        Japanese",,   13260,,    4590,,    8670,,   43640,,   14790,,   28855,
"Mother tongue","        Kartvelian languages",,    1200,,     635,,     565,,    1715,,     910,,     805,
"Mother tongue","          Georgian",,    1200,,     635,,     565,,    1715,,     910,,     805,
"Mother tongue","        Korean",,   69775,,   32035,,   37740,,  153425,,   70310,,   83115,
"Mother tongue","        Mongolic languages",,     405,,     180,,     220,,    1575,,     690,,     885,
"Mother tongue","          Mongolian",,     405,,     180,,     225,,    1575,,     690,,     880,
"Mother tongue","        Niger-Congo languages",,   35760,,   16705,,   19050,,   91375,,   45075,,   46305,
"Mother tongue","          Akan (Twi)",,    9695,,    4510,,    5190,,   13455,,    6490,,    6970,
"Mother tongue","          Bamanankan",,     140,,      60,,      80,,    1535,,     815,,     720,
"Mother tongue","          Edo",,    1140,,     475,,     670,,    1670,,     770,,     900,
"Mother tongue","          Ewe",,     560,,     270,,     295,,    1760,,     950,,     805,
"Mother tongue","          Fulah (Pular; Pulaar; Fulfulde)",,     365,,     180,,     185,,    2825,,    1495,,    1335,
"Mother tongue","          Ga",,     600,,     275,,     325,,     920,,     445,,     470,
"Mother tongue","          Ganda",,     760,,     360,,     400,,    1295,,     625,,     665,
"Mother tongue","          Igbo",,    2090,,    1080,,    1010,,    4235,,    2265,,    1970,
"Mother tongue","          Lingala",,     850,,     365,,     485,,    3810,,    1785,,    2025,
"Mother tongue","          Rundi (Kirundi)",,    1430,,     640,,     785,,    5845,,    2785,,    3060,
"Mother tongue","          Kinyarwanda (Rwanda)",,    1330,,     545,,     785,,    5250,,    2355,,    2895,
"Mother tongue","          Shona",,    1455,,     660,,     790,,    3180,,    1520,,    1665,
"Mother tongue","          Swahili",,    5525,,    2540,,    2985,,   13370,,    6385,,    6990,
"Mother tongue","          Wolof",,     290,,     145,,     150,,    3990,,    2170,,    1820,
"Mother tongue","          Yoruba",,    4365,,    2260,,    2105,,    9085,,    4785,,    4300,
"Mother tongue","          Niger-Congo languages; n.i.e.",,    5155,,    2345,,    2810,,   19135,,    9435,,    9695,
"Mother tongue","        Nilo-Saharan languages",,    1610,,     810,,     800,,    5870,,    3025,,    2845,
"Mother tongue","          Dinka",,     345,,     170,,     175,,    2120,,    1115,,    1000,
"Mother tongue","          Nilo-Saharan languages; n.i.e.",,    1260,,     635,,     625,,    3755,,    1910,,    1840,
"Mother tongue","        Sign languages",,    3030,,    1570,,    1455,,    7500,,    3925,,    3575,
"Mother tongue","          American Sign Language",,    1305,,     640,,     670,,    2685,,    1320,,    1360,
"Mother tongue","          Quebec Sign Language",,      20,,      10,,      15,,     695,,     340,,     355,
"Mother tongue","          Sign languages; n.i.e",,    1700,,     925,,     780,,    4120,,    2265,,    1860,
"Mother tongue","        Sino-Tibetan languages",,  611795,,  284865,,  326935,, 1269215,,  589570,,  679645,
"Mother tongue","          Chinese languages",,  602610,,  280340,,  322270,, 1253360,,  581650,,  671715,
"Mother tongue","            Cantonese",,  275315,,  128090,,  147220,,  565270,,  262865,,  302405,
"Mother tongue","            Hakka",,    6985,,    3140,,    3840,,   10910,,    4900,,    6015,
"Mother tongue","            Mandarin",,  283735,,  132275,,  151460,,  592040,,  274630,,  317410,
"Mother tongue","            Min Dong",,     855,,     405,,     450,,    1230,,     580,,     650,
"Mother tongue","            Min Nan (Chaochow; Teochow; Fukien; Taiwanese)",,   13545,,    6240,,    7300,,   31795,,   14450,,   17350,
"Mother tongue","            Wu (Shanghainese)",,    6300,,    2825,,    3470,,   12915,,    5780,,    7140,
"Mother tongue","            Chinese; n.o.s.",,   15645,,    7235,,    8410,,   38580,,   18165,,   20410,
"Mother tongue","            Chinese languages; n.i.e.",,     240,,     120,,     120,,     610,,     275,,     335,
"Mother tongue","          Tibeto-Burman languages",,    9185,,    4520,,    4660,,   15850,,    7925,,    7935,
"Mother tongue","            Burmese",,    1640,,     775,,     865,,    3585,,    1795,,    1790,
"Mother tongue","            Karenic languages",,    1730,,     865,,     860,,    4705,,    2355,,    2350,
"Mother tongue","            Tibetan",,    5115,,    2530,,    2585,,    6165,,    3080,,    3080,
"Mother tongue","            Tibeto-Burman languages; n.i.e.",,     700,,     345,,     350,,    1400,,     695,,     705,
"Mother tongue","        Tai-Kadai languages",,    8485,,    3535,,    4945,,   22010,,    8870,,   13145,
"Mother tongue","          Lao",,    5190,,    2480,,    2710,,   12670,,    6145,,    6525,
"Mother tongue","          Thai",,    3270,,    1045,,    2220,,    9255,,    2690,,    6565,
"Mother tongue","          Tai-Kadai languages; n.i.e",,      25,,      10,,      15,,      80,,      35,,      55,
"Mother tongue","        Turkic languages",,   22615,,   11745,,   10870,,   40140,,   21120,,   19025,
"Mother tongue","          Azerbaijani",,    1990,,    1070,,     920,,    3260,,    1785,,    1470,
"Mother tongue","          Turkish",,   18415,,    9610,,    8810,,   32815,,   17375,,   15440,
"Mother tongue","          Uyghur",,     515,,     255,,     260,,    1035,,     510,,     525,
"Mother tongue","          Uzbek",,    1055,,     515,,     545,,    1715,,     855,,     865,
"Mother tongue","          Turkic languages; n.i.e.",,     640,,     295,,     345,,    1315,,     590,,     720,
"Mother tongue","        Uralic languages",,   50670,,   23095,,   27570,,   81985,,   37790,,   44195,
"Mother tongue","          Estonian",,    4205,,    1810,,    2400,,    5445,,    2325,,    3115,
"Mother tongue","          Finnish",,    9720,,    4140,,    5580,,   15295,,    6395,,    8900,
"Mother tongue","          Hungarian",,   36740,,   17150,,   19590,,   61235,,   29060,,   32175,
"Mother tongue","          Uralic languages; n.i.e.",,       0,,       0,,       0,,      10,,       5,,       5,
"Mother tongue","        Other languages; n.i.e.",,    1475,,     780,,     690,,    3690,,    2045,,    1645,
"Mother tongue","  Multiple responses",,  365910,,  176250,,  189660,,  818635,,  398325,,  420305,
"Mother tongue","    English and French",,   54045,,   25165,,   28880,,  165320,,   80460,,   84860,
"Mother tongue","    English and non-official language",,  288285,,  140345,,  147940,,  533265,,  259160,,  274100,
"Mother tongue","    French and non-official language",,   12565,,    5735,,    6830,,   86150,,   42170,,   43985,
"Mother tongue","    English; French and non-official language",,   11010,,    5000,,    6005,,   33900,,   16535,,   17365,
"Language spoken most often at home","Total - Language spoken most often at home for the total population excluding institutional residents - 100% data",19,13312865,, 6503875,, 6808990,,34767250,,17101165,,17666085,
"Language spoken most often at home","  Single responses",,12522045,, 6123955,, 6398085,,33103860,,16298475,,16805395,
"Language spoken most often at home","    Official languages",,10605725,, 5214425,, 5391300,,29106670,,14383020,,14723645,
"Language spoken most often at home","      English",,10328680,, 5084885,, 5243800,,22162865,,10966135,,11196730,
"Language spoken most often at home","      French",,  277045,,  129540,,  147500,, 6943800,, 3416890,, 3526910,
"Language spoken most often at home","    Non-official languages",, 1916315,,  909530,, 1006780,, 3997195,, 1915450,, 2081750,
"Language spoken most often at home","      Aboriginal languages",,    9210,,    4600,,    4610,,  118470,,   59720,,   58750,
"Language spoken most often at home","        Algonquian languages",,    8685,,    4370,,    4320,,   75080,,   37825,,   37260,
"Language spoken most often at home","          Blackfoot",,       0,,       0,,       0,,    1115,,     555,,     555,
"Language spoken most often at home","          Cree-Montagnais languages",,    2370,,    1205,,    1165,,   55825,,   28135,,   27685,
"Language spoken most often at home","            Atikamekw",,       0,,       0,,       0,,    5465,,    2825,,    2640,
"Language spoken most often at home","            Montagnais (Innu)",,       5,,       5,,       5,,    8590,,    4195,,    4395,
"Language spoken most often at home","            Moose Cree",,      10,,      10,,       5,,      10,,       5,,       5,
"Language spoken most often at home","            Naskapi",,      10,,       5,,       5,,    1200,,     595,,     605,
"Language spoken most often at home","            Northern East Cree",,      20,,      10,,      15,,     110,,      55,,      60,
"Language spoken most often at home","            Plains Cree",,       0,,       0,,       0,,    1350,,     665,,     685,
"Language spoken most often at home","            Southern East Cree",,       0,,       0,,       0,,      20,,       5,,      15,
"Language spoken most often at home","            Swampy Cree",,     105,,      50,,      55,,     330,,     140,,     190,
"Language spoken most often at home","            Woods Cree",,       5,,       5,,       0,,     800,,     410,,     390,
"Language spoken most often at home","            Cree; n.o.s.",,    2220,,    1135,,    1085,,   37945,,   19240,,   18710,
"Language spoken most often at home","          Eastern Algonquian languages",,       5,,       5,,       5,,    3615,,    1795,,    1820,
"Language spoken most often at home","            Malecite",,       0,,       0,,       0,,      55,,      30,,      30,
"Language spoken most often at home","            Mi'kmaq",,       5,,       5,,       0,,    3560,,    1770,,    1795,
"Language spoken most often at home","          Ojibway-Potawatomi languages",,    6305,,    3155,,    3145,,   14525,,    7335,,    7190,
"Language spoken most often at home","            Algonquin",,       5,,       0,,       0,,     370,,     170,,     200,
"Language spoken most often at home","            Ojibway",,    3315,,    1695,,    1620,,    6175,,    3165,,    3015,
"Language spoken most often at home","            Oji-Cree",,    2905,,    1420,,    1490,,    7900,,    3960,,    3940,
"Language spoken most often at home","            Ottawa (Odawa)",,      75,,      40,,      35,,      75,,      40,,      35,
"Language spoken most often at home","          Algonquian languages; n.i.e.",,       5,,       0,,       0,,       5,,       5,,       5,
"Language spoken most often at home","        Athabaskan languages",,      20,,      10,,      10,,   10265,,    5125,,    5135,
"Language spoken most often at home","          Northern Athabaskan languages",,      15,,      10,,      10,,   10255,,    5120,,    5135,
"Language spoken most often at home","            Babine (Wetsuwet'en)",,       0,,       0,,       0,,      15,,      10,,      10,
